Period,Return
1/1/1913,9.8
2/1/1913,9.8
3/1/1913,9.8
4/1/1913,9.8
5/1/1913,9.7
6/1/1913,9.8
7/1/1913,9.9
8/1/1913,9.9
9/1/1913,10.0
10/1/1913,10.0
11/1/1913,10.1
12/1/1913,10.0
1/1/1914,10.0
2/1/1914,9.9
3/1/1914,9.9
4/1/1914,9.8
5/1/1914,9.9
6/1/1914,9.9
7/1/1914,10.0
8/1/1914,10.2
9/1/1914,10.2
10/1/1914,10.1
11/1/1914,10.2
12/1/1914,10.1
1/1/1915,10.1
2/1/1915,10.0
3/1/1915,9.9
4/1/1915,10.0
5/1/1915,10.1
6/1/1915,10.1
7/1/1915,10.1
8/1/1915,10.1
9/1/1915,10.1
10/1/1915,10.2
11/1/1915,10.3
12/1/1915,10.3
1/1/1916,10.4
2/1/1916,10.4
3/1/1916,10.5
4/1/1916,10.6
5/1/1916,10.7
6/1/1916,10.8
7/1/1916,10.8
8/1/1916,10.9
9/1/1916,11.1
10/1/1916,11.3
11/1/1916,11.5
12/1/1916,11.6
1/1/1917,11.7
2/1/1917,12.0
3/1/1917,12.0
4/1/1917,12.6
5/1/1917,12.8
6/1/1917,13.0
7/1/1917,12.8
8/1/1917,13.0
9/1/1917,13.3
10/1/1917,13.5
11/1/1917,13.5
12/1/1917,13.7
1/1/1918,14.0
2/1/1918,14.1
3/1/1918,14.0
4/1/1918,14.2
5/1/1918,14.5
6/1/1918,14.7
7/1/1918,15.1
8/1/1918,15.4
9/1/1918,15.7
10/1/1918,16.0
11/1/1918,16.3
12/1/1918,16.5
1/1/1919,16.5
2/1/1919,16.2
3/1/1919,16.4
4/1/1919,16.7
5/1/1919,16.9
6/1/1919,16.9
7/1/1919,17.4
8/1/1919,17.7
9/1/1919,17.8
10/1/1919,18.1
11/1/1919,18.5
12/1/1919,18.9
1/1/1920,19.3
2/1/1920,19.5
3/1/1920,19.7
4/1/1920,20.3
5/1/1920,20.6
6/1/1920,20.9
7/1/1920,20.8
8/1/1920,20.3
9/1/1920,20.0
10/1/1920,19.9
11/1/1920,19.8
12/1/1920,19.4
1/1/1921,19.0
2/1/1921,18.4
3/1/1921,18.3
4/1/1921,18.1
5/1/1921,17.7
6/1/1921,17.6
7/1/1921,17.7
8/1/1921,17.7
9/1/1921,17.5
10/1/1921,17.5
11/1/1921,17.4
12/1/1921,17.3
1/1/1922,16.9
2/1/1922,16.9
3/1/1922,16.7
4/1/1922,16.7
5/1/1922,16.7
6/1/1922,16.7
7/1/1922,16.8
8/1/1922,16.6
9/1/1922,16.6
10/1/1922,16.7
11/1/1922,16.8
12/1/1922,16.9
1/1/1923,16.8
2/1/1923,16.8
3/1/1923,16.8
4/1/1923,16.9
5/1/1923,16.9
6/1/1923,17.0
7/1/1923,17.2
8/1/1923,17.1
9/1/1923,17.2
10/1/1923,17.3
11/1/1923,17.3
12/1/1923,17.3
1/1/1924,17.3
2/1/1924,17.2
3/1/1924,17.1
4/1/1924,17.0
5/1/1924,17.0
6/1/1924,17.0
7/1/1924,17.1
8/1/1924,17.0
9/1/1924,17.1
10/1/1924,17.2
11/1/1924,17.2
12/1/1924,17.3
1/1/1925,17.3
2/1/1925,17.2
3/1/1925,17.3
4/1/1925,17.2
5/1/1925,17.3
6/1/1925,17.5
7/1/1925,17.7
8/1/1925,17.7
9/1/1925,17.7
10/1/1925,17.7
11/1/1925,18.0
12/1/1925,17.9
1/1/1926,17.9
2/1/1926,17.9
3/1/1926,17.8
4/1/1926,17.9
5/1/1926,17.8
6/1/1926,17.7
7/1/1926,17.5
8/1/1926,17.4
9/1/1926,17.5
10/1/1926,17.6
11/1/1926,17.7
12/1/1926,17.7
1/1/1927,17.5
