DATE,USSTHPI,USSTHPI_Rate
4/1/1975,60.98,0.015825421
7/1/1975,61.14,0.002623811
10/1/1975,62.22,0.017664377
1/1/1976,62.85,0.010125362
4/1/1976,65.45,0.041368337
7/1/1976,66.53,0.016501146
10/1/1976,67.22,0.010371261
1/1/1977,69.49,0.033769711
4/1/1977,72.73,0.046625414
7/1/1977,74.35,0.022274165
10/1/1977,77.18,0.038063215
1/1/1978,79.59,0.031225706
4/1/1978,82.74,0.039577836
7/1/1978,85.16,0.029248248
10/1/1978,87.49,0.027360263
1/1/1979,91.4,0.044690822
4/1/1979,94.45,0.033369803
7/1/1979,96.46,0.021281101
10/1/1979,98.24,0.018453245
1/1/1980,100,0.017915309
4/1/1980,101.63,0.0163
7/1/1980,104.44,0.027649316
10/1/1980,104.6,0.00153198
1/1/1981,105.19,0.005640535
4/1/1981,107.44,0.021389866
7/1/1981,108.85,0.013123604
10/1/1981,107.49,-0.012494258
1/1/1982,106.2,-0.012001116
4/1/1982,108.84,0.024858757
7/1/1982,107.05,-0.01644616
10/1/1982,111.7,0.043437646
1/1/1983,114.42,0.02435094
4/1/1983,115.93,0.013196994
7/1/1983,116.96,0.008884672
10/1/1983,117.64,0.005813953
1/1/1984,119.44,0.015300918
4/1/1984,121.04,0.013395847
7/1/1984,122.18,0.009418374
10/1/1984,123.16,0.008020953
1/1/1985,124.89,0.014046768
4/1/1985,126.78,0.015133317
7/1/1985,128.76,0.015617605
10/1/1985,130.19,0.011105934
1/1/1986,132.72,0.019433136
4/1/1986,135.5,0.020946353
7/1/1986,137.56,0.015202952
10/1/1986,139.69,0.015484152
1/1/1987,142.46,0.019829623
4/1/1987,144.68,0.015583322
7/1/1987,146.35,0.011542715
10/1/1987,147.31,0.006559617
1/1/1988,149.59,0.015477564
4/1/1988,152.59,0.020054816
7/1/1988,154.17,0.010354545
10/1/1988,155.58,0.009145748
1/1/1989,157.4,0.011698162
4/1/1989,159.56,0.013722999
7/1/1989,162.97,0.021371271
10/1/1989,164.31,0.008222372
1/1/1990,165.24,0.005660033
4/1/1990,165.93,0.004175744
7/1/1990,166.96,0.006207437
10/1/1990,166.31,-0.003893148
1/1/1991,167.68,0.008237629
4/1/1991,168.8,0.006679389
7/1/1991,169.13,0.001954976
10/1/1991,171.5,0.014012889
1/1/1992,172.82,0.007696793
4/1/1992,172.78,-0.000231455
7/1/1992,174.75,0.011401783
10/1/1992,175.62,0.004978541
1/1/1993,175.7,0.000455529
4/1/1993,177.38,0.009561753
7/1/1993,178.82,0.008118164
10/1/1993,180.29,0.008220557
1/1/1994,181.42,0.00626768
4/1/1994,182.51,0.006008158
7/1/1994,183.26,0.004109364
10/1/1994,183.11,-0.000818509
1/1/1995,184.07,0.00524275
4/1/1995,187.09,0.016406802
7/1/1995,189.98,0.015447111
10/1/1995,191.44,0.007685019
1/1/1996,193.59,0.011230673
4/1/1996,193.9,0.001601322
7/1/1996,194.77,0.004486849
10/1/1996,196.29,0.007804077
1/1/1997,197.92,0.00830404
4/1/1997,199.54,0.008185125
7/1/1997,202.25,0.013581237
10/1/1997,204.89,0.013053152
1/1/1998,207.96,0.01498365
4/1/1998,209.82,0.008944028
7/1/1998,212.76,0.01401201
10/1/1998,215.27,0.01179733
1/1/1999,217.54,0.010544897
4/1/1999,220.44,0.013330882
7/1/1999,223.57,0.014198875
10/1/1999,225.87,0.010287606
1/1/2000,230.2,0.019170319
4/1/2000,233.94,0.016246742
7/1/2000,238.21,0.018252543
10/1/2000,241.86,0.015322614
1/1/2001,247.84,0.024725048
4/1/2001,252,0.016785023
7/1/2001,255.91,0.015515873
10/1/2001,259.07,0.012348091
1/1/2002,262.8,0.014397653
4/1/2002,267.27,0.017009132
7/1/2002,272.58,0.01986755
10/1/2002,276.45,0.014197667
1/1/2003,279.81,0.012154097
4/1/2003,283.23,0.01222258
7/1/2003,287.6,0.015429157
10/1/2003,295.74,0.028303199
1/1/2004,300.4,0.015757084
4/1/2004,307.73,0.024400799
7/1/2004,319.45,0.038085335
10/1/2004,326.29,0.021411802
1/1/2005,333.77,0.022924392
4/1/2005,344.46,0.032028043
7/1/2005,354.94,0.030424432
10/1/2005,362.98,0.022651716
1/1/2006,368.73,0.015841093
4/1/2006,372.51,0.010251403
7/1/2006,375.57,0.008214545
10/1/2006,379.42,0.010251085
1/1/2007,380.83,0.003716198
4/1/2007,380.58,-0.000656461
7/1/2007,376.33,-0.011167166
10/1/2007,375.13,-0.003188691
1/1/2008,372.38,-0.007330792
4/1/2008,362.99,-0.025216177
7/1/2008,351.55,-0.03151602
10/1/2008,348.32,-0.009187882
1/1/2009,350.89,0.007378273
4/1/2009,341.7,-0.026190544
7/1/2009,332.77,-0.026134036
10/1/2009,330.24,-0.007602849
1/1/2010,326.3,-0.011930717
4/1/2010,323.34,-0.009071407
7/1/2010,326.49,0.009742067
10/1/2010,324.17,-0.007105884
1/1/2011,315.17,-0.027763211
4/1/2011,309.64,-0.017546086
7/1/2011,311.96,0.007492572
10/1/2011,313.39,0.004583921
1/1/2012,310.11,-0.010466192
4/1/2012,308.7,-0.004546774
7/1/2012,312.82,0.013346291
10/1/2012,315.26,0.007800013
1/1/2013,316.84,0.005011736
4/1/2013,321.69,0.015307411
7/1/2013,326.35,0.014485996
10/1/2013,328.95,0.007966907
1/1/2014,331.7,0.008359933
4/1/2014,338.12,0.019354839
7/1/2014,343.03,0.014521472
10/1/2014,345.79,0.008045944
1/1/2015,349.61,0.011047167
4/1/2015,355.3,0.016275278
7/1/2015,360.36,0.014241486
10/1/2015,363.27,0.008075258
1/1/2016,366.62,0.009221791
4/1/2016,373.5,0.018766025
7/1/2016,380.14,0.017777778
10/1/2016,383.12,0.007839217
1/1/2017,385.94,0.007360618
4/1/2017,394.58,0.0223869
7/1/2017,400.67,0.015434132
10/1/2017,404,0.008311079
1/1/2018,409.71,0.014133663
4/1/2018,417.26,0.018427668
7/1/2018,422.35,0.012198629
10/1/2018,423.81,0.003456849
1/1/2019,428.52,0.011113471
4/1/2019,435.66,0.016661999
7/1/2019,441.19,0.012693385
10/1/2019,445.13,0.008930393
1/1/2020,450.27,0.011547188
4/1/2020,454.71,0.00986075
7/1/2020,462.59,0.017329727
10/1/2020,472.83,0.022136233
1/1/2021,484.18,0.024004399
4/1/2021,511.17,0.055743732
7/1/2021,539.6,0.055617505
10/1/2021,558.07,0.034229059
1/1/2022,578.58,0.036751662
4/1/2022,617.89,0.067942203
