DATE,RRVRUSQ156N,Rate
4/1/1956,0.059,-0.048387097
7/1/1956,0.063,0.06779661
10/1/1956,0.058,-0.079365079
1/1/1957,0.053,-0.086206897
4/1/1957,0.053,0
7/1/1957,0.057,0.075471698
10/1/1957,0.058,0.01754386
1/1/1958,0.063,0.086206897
4/1/1958,0.065,0.031746032
7/1/1958,0.063,-0.030769231
10/1/1958,0.066,0.047619048
1/1/1959,0.068,0.03030303
4/1/1959,0.073,0.073529412
7/1/1959,0.072,-0.01369863
10/1/1959,0.07,-0.027777778
1/1/1960,0.08,0.142857143
4/1/1960,0.08,0
7/1/1960,0.083,0.0375
10/1/1960,0.084,0.012048193
1/1/1961,0.089,0.05952381
4/1/1961,0.088,-0.011235955
7/1/1961,0.086,-0.022727273
10/1/1961,0.085,-0.011627907
1/1/1962,0.085,0
4/1/1962,0.081,-0.047058824
7/1/1962,0.08,-0.012345679
10/1/1962,0.081,0.0125
1/1/1963,0.08,-0.012345679
4/1/1963,0.082,0.025
7/1/1963,0.083,0.012195122
10/1/1963,0.083,0
1/1/1964,0.081,-0.024096386
4/1/1964,0.081,0
7/1/1964,0.084,0.037037037
10/1/1964,0.083,-0.011904762
1/1/1965,0.085,0.024096386
4/1/1965,0.082,-0.035294118
7/1/1965,0.078,-0.048780488
10/1/1965,0.085,0.08974359
1/1/1966,0.083,-0.023529412
4/1/1966,0.074,-0.108433735
7/1/1966,0.074,0
10/1/1966,0.077,0.040540541
1/1/1967,0.073,-0.051948052
4/1/1967,0.069,-0.054794521
7/1/1967,0.07,0.014492754
10/1/1967,0.062,-0.114285714
1/1/1968,0.061,-0.016129032
4/1/1968,0.062,0.016393443
7/1/1968,0.059,-0.048387097
10/1/1968,0.054,-0.084745763
1/1/1969,0.056,0.037037037
4/1/1969,0.057,0.017857143
7/1/1969,0.055,-0.035087719
10/1/1969,0.051,-0.072727273
1/1/1970,0.054,0.058823529
4/1/1970,0.054,0
7/1/1970,0.053,-0.018518519
10/1/1970,0.052,-0.018867925
1/1/1971,0.053,0.019230769
4/1/1971,0.053,0
7/1/1971,0.056,0.056603774
10/1/1971,0.056,0
1/1/1972,0.053,-0.053571429
4/1/1972,0.055,0.037735849
7/1/1972,0.058,0.054545455
10/1/1972,0.056,-0.034482759
1/1/1973,0.057,0.017857143
4/1/1973,0.058,0.01754386
7/1/1973,0.058,0
10/1/1973,0.058,0
1/1/1974,0.062,0.068965517
4/1/1974,0.063,0.016129032
7/1/1974,0.062,-0.015873016
10/1/1974,0.06,-0.032258065
1/1/1975,0.061,0.016666667
4/1/1975,0.063,0.032786885
7/1/1975,0.062,-0.015873016
10/1/1975,0.054,-0.129032258
1/1/1976,0.055,0.018518519
4/1/1976,0.058,0.054545455
7/1/1976,0.057,-0.017241379
10/1/1976,0.053,-0.070175439
1/1/1977,0.051,-0.037735849
4/1/1977,0.053,0.039215686
7/1/1977,0.054,0.018867925
10/1/1977,0.051,-0.055555556
1/1/1978,0.05,-0.019607843
4/1/1978,0.051,0.02
7/1/1978,0.05,-0.019607843
10/1/1978,0.05,0
1/1/1979,0.051,0.02
4/1/1979,0.055,0.078431373
7/1/1979,0.057,0.036363636
10/1/1979,0.054,-0.052631579
1/1/1980,0.052,-0.037037037
4/1/1980,0.056,0.076923077
7/1/1980,0.057,0.017857143
10/1/1980,0.05,-0.122807018
1/1/1981,0.052,0.04
4/1/1981,0.05,-0.038461538
7/1/1981,0.05,0
10/1/1981,0.05,0
1/1/1982,0.053,0.06
4/1/1982,0.051,-0.037735849
7/1/1982,0.053,0.039215686
10/1/1982,0.055,0.037735849
1/1/1983,0.057,0.036363636
4/1/1983,0.055,-0.035087719
7/1/1983,0.058,0.054545455
10/1/1983,0.055,-0.051724138
1/1/1984,0.056,0.018181818
4/1/1984,0.055,-0.017857143
7/1/1984,0.06,0.090909091
10/1/1984,0.063,0.05
1/1/1985,0.063,0
4/1/1985,0.062,-0.015873016
7/1/1985,0.068,0.096774194
10/1/1985,0.067,-0.014705882
1/1/1986,0.069,0.029850746
4/1/1986,0.073,0.057971014
7/1/1986,0.075,0.02739726
10/1/1986,0.077,0.026666667
1/1/1987,0.074,-0.038961039
4/1/1987,0.075,0.013513514
7/1/1987,0.081,0.08
10/1/1987,0.078,-0.037037037
1/1/1988,0.08,0.025641026
4/1/1988,0.077,-0.0375
7/1/1988,0.078,0.012987013
10/1/1988,0.073,-0.064102564
1/1/1989,0.075,0.02739726
4/1/1989,0.074,-0.013333333
7/1/1989,0.076,0.027027027
10/1/1989,0.071,-0.065789474
1/1/1990,0.075,0.056338028
4/1/1990,0.07,-0.066666667
7/1/1990,0.072,0.028571429
10/1/1990,0.072,0
1/1/1991,0.075,0.041666667
4/1/1991,0.073,-0.026666667
7/1/1991,0.076,0.04109589
10/1/1991,0.073,-0.039473684
1/1/1992,0.074,0.01369863
4/1/1992,0.077,0.040540541
7/1/1992,0.073,-0.051948052
10/1/1992,0.071,-0.02739726
1/1/1993,0.078,0.098591549
4/1/1993,0.076,-0.025641026
7/1/1993,0.07,-0.078947368
10/1/1993,0.069,-0.014285714
1/1/1994,0.075,0.086956522
4/1/1994,0.074,-0.013333333
7/1/1994,0.072,-0.027027027
10/1/1994,0.074,0.027777778
1/1/1995,0.074,0
4/1/1995,0.077,0.040540541
7/1/1995,0.077,0
10/1/1995,0.077,0
1/1/1996,0.079,0.025974026
4/1/1996,0.078,-0.012658228
7/1/1996,0.08,0.025641026
10/1/1996,0.077,-0.0375
1/1/1997,0.075,-0.025974026
4/1/1997,0.079,0.053333333
7/1/1997,0.079,0
10/1/1997,0.077,-0.025316456
1/1/1998,0.077,0
4/1/1998,0.08,0.038961039
7/1/1998,0.082,0.025
10/1/1998,0.078,-0.048780488
1/1/1999,0.082,0.051282051
4/1/1999,0.081,-0.012195122
7/1/1999,0.082,0.012345679
10/1/1999,0.079,-0.036585366
1/1/2000,0.079,0
4/1/2000,0.08,0.012658228
7/1/2000,0.082,0.025
10/1/2000,0.078,-0.048780488
1/1/2001,0.082,0.051282051
4/1/2001,0.083,0.012195122
7/1/2001,0.084,0.012048193
10/1/2001,0.088,0.047619048
1/1/2002,0.091,0.034090909
4/1/2002,0.084,-0.076923077
7/1/2002,0.09,0.071428571
10/1/2002,0.093,0.033333333
1/1/2003,0.094,0.010752688
4/1/2003,0.096,0.021276596
7/1/2003,0.099,0.03125
10/1/2003,0.102,0.03030303
1/1/2004,0.104,0.019607843
4/1/2004,0.102,-0.019230769
7/1/2004,0.101,-0.009803922
10/1/2004,0.1,-0.00990099
1/1/2005,0.101,0.01
4/1/2005,0.098,-0.02970297
7/1/2005,0.099,0.010204082
10/1/2005,0.096,-0.03030303
1/1/2006,0.095,-0.010416667
4/1/2006,0.096,0.010526316
7/1/2006,0.099,0.03125
10/1/2006,0.098,-0.01010101
1/1/2007,0.101,0.030612245
4/1/2007,0.095,-0.059405941
7/1/2007,0.098,0.031578947
10/1/2007,0.096,-0.020408163
1/1/2008,0.101,0.052083333
4/1/2008,0.1,-0.00990099
7/1/2008,0.099,-0.01
10/1/2008,0.101,0.02020202
1/1/2009,0.101,0
4/1/2009,0.106,0.04950495
7/1/2009,0.111,0.047169811
10/1/2009,0.107,-0.036036036
1/1/2010,0.106,-0.009345794
4/1/2010,0.106,0
7/1/2010,0.103,-0.028301887
10/1/2010,0.094,-0.087378641
1/1/2011,0.097,0.031914894
4/1/2011,0.092,-0.051546392
7/1/2011,0.098,0.065217391
10/1/2011,0.094,-0.040816327
1/1/2012,0.088,-0.063829787
4/1/2012,0.086,-0.022727273
7/1/2012,0.086,0
10/1/2012,0.087,0.011627907
1/1/2013,0.086,-0.011494253
4/1/2013,0.082,-0.046511628
7/1/2013,0.083,0.012195122
10/1/2013,0.082,-0.012048193
1/1/2014,0.083,0.012195122
4/1/2014,0.075,-0.096385542
7/1/2014,0.074,-0.013333333
10/1/2014,0.07,-0.054054054
1/1/2015,0.071,0.014285714
4/1/2015,0.068,-0.042253521
7/1/2015,0.073,0.073529412
10/1/2015,0.07,-0.04109589
1/1/2016,0.07,0
4/1/2016,0.067,-0.042857143
7/1/2016,0.068,0.014925373
10/1/2016,0.069,0.014705882
1/1/2017,0.07,0.014492754
4/1/2017,0.073,0.042857143
7/1/2017,0.075,0.02739726
10/1/2017,0.069,-0.08
1/1/2018,0.07,0.014492754
4/1/2018,0.068,-0.028571429
7/1/2018,0.071,0.044117647
10/1/2018,0.066,-0.070422535
1/1/2019,0.07,0.060606061
4/1/2019,0.068,-0.028571429
7/1/2019,0.068,0
10/1/2019,0.064,-0.058823529
1/1/2020,0.066,0.03125
4/1/2020,0.057,-0.136363636
7/1/2020,0.064,0.122807018
10/1/2020,0.065,0.015625
1/1/2021,0.068,0.046153846
4/1/2021,0.062,-0.088235294
7/1/2021,0.058,-0.064516129
10/1/2021,0.056,-0.034482759
1/1/2022,0.058,0.035714286
4/1/2022,0.056,-0.034482759
