Variable_1, Variable_2, Correlation
US_Stock, Inflation, -0.04
US_Bond, Inflation, -0.16
US_Bond, US_Stock, 0.14
Intl_ex_US_Stock, Inflation, 0.01
Intl_ex_US_Stock, US_Stock, 0.85
Intl_ex_US_Stock, US_Bond, 0.11
TIPS, Inflation, 0.01
TIPS, US_Stock, 0.14
TIPS, US_Bond, 0.79
TIPS, Intl_ex_US_Stock, 0.23
10_yr_Treasury, Inflation, -0.25
10_yr_Treasury, US_Stock, -0.19
10_yr_Treasury, US_Bond, 0.89
10_yr_Treasury, Intl_ex_US_Stock, -0.13
10_yr_Treasury, TIPS, 0.70
Long_term_Treasury, Inflation, -0.21
Long_term_Treasury, US_Stock, -0.07
Long_term_Treasury, US_Bond, 0.87
Long_term_Treasury, Intl_ex_US_Stock, -0.12
Long_term_Treasury, TIPS, 0.65
Long_term_Treasury, 10_yr_Treasury, 0.93
Short_term_Treasury, Inflation, -0.12
Short_term_Treasury, US_Stock, -0.09
Short_term_Treasury, US_Bond, 0.81
Short_term_Treasury, Intl_ex_US_Stock, -0.11
Short_term_Treasury, TIPS, 0.64
Short_term_Treasury, 10_yr_Treasury, 0.83
Short_term_Treasury, Long_term_Treasury, 0.66
Mid_term_Treasury, Inflation, -0.17
Mid_term_Treasury, US_Stock, -0.07
Mid_term_Treasury, US_Bond, 0.92
Mid_term_Treasury, Intl_ex_US_Stock, -0.10
Mid_term_Treasury, TIPS, 0.74
Mid_term_Treasury, 10_yr_Treasury, 0.98
Mid_term_Treasury, Long_term_Treasury, 0.87
Mid_term_Treasury, Short_term_Treasury, 0.90
REIT, Inflation, 0.03
REIT, US_Stock, 0.61
REIT, US_Bond, 0.24
REIT, Intl_ex_US_Stock, 0.60
REIT, TIPS, 0.34
REIT, 10_yr_Treasury, 0.08
REIT, Long_term_Treasury, 0.05
REIT, Short_term_Treasury, -0.01
REIT, Mid_term_Treasury, 0.03
Commondities, Inflation, 0.41
Commondities, US_Stock, 0.49
Commondities, US_Bond, -0.12
Commondities, Intl_ex_US_Stock, 0.58
Commondities, TIPS, 0.19
Commondities, 10_yr_Treasury, -0.33
Commondities, Long_term_Treasury, -0.35
Commondities, Short_term_Treasury, -0.19
Commondities, Mid_term_Treasury, -0.26
Commondities, REIT, 0.31
Gold, Inflation, 0.01
Gold, US_Stock, 0.07
Gold, US_Bond, 0.37
Gold, Intl_ex_US_Stock, 0.23
Gold, TIPS, 0.45
Gold, 10_yr_Treasury, 0.30
Gold, Long_term_Treasury, 0.26
Gold, Short_term_Treasury, 0.33
Gold, Mid_term_Treasury, 0.35
Gold, REIT, 0.12
Gold, Commondities, 0.22
