Year,Inflation
1960,1.01457976
1961,1.010707241
1962,1.011987733
1963,1.012396694
1964,1.012789116
1965,1.015851693
1966,1.030150754
1967,1.027727856
1968,1.042717962
1969,1.054623862
1970,1.058382553
1971,1.042927667
1972,1.032722782
1973,1.061777601
1974,1.110548048
1975,1.091431469
1976,1.057448126
1977,1.06501684
1978,1.076309638
1979,1.112544711
1980,1.13549202
1981,1.103347153
1982,1.06131427
1983,1.032124352
1984,1.043005355
1985,1.035456442
1986,1.018980477
1987,1.036645632
1988,1.040777411
1989,1.04827003
1990,1.053979564
1991,1.04234964
1992,1.030288197
1993,1.02951657
1994,1.026074416
1995,1.028054197
1996,1.029312042
1997,1.023376899
1998,1.015522791
1999,1.021880272
2000,1.033768573
2001,1.028261711
2002,1.015860316
2003,1.02270095
2004,1.026772367
2005,1.033927468
2006,1.032259441
2007,1.028526725
2008,1.038391003
2009,0.996444537
2010,1.016400434
2011,1.031568416
2012,1.020693373
2013,1.014648327
2014,1.01622223
2015,1.001186271
2016,1.012615832
2017,1.0213011
2018,1.024425833
2019,1.018122101
2020,1.012335844
2021,1.046978589
