DATE,MORTGAGE30US,Rate
7/1/1971,7.658461538,0.033101588
10/1/1971,7.552857143,-0.013789244
1/1/1972,7.349230769,-0.026960178
4/1/1972,7.346923077,-0.000314005
7/1/1972,7.406153846,0.008061983
10/1/1972,7.430769231,0.003323639
1/1/1973,7.446153846,0.002070393
4/1/1973,7.65,0.027376033
7/1/1973,8.456923077,0.105480141
10/1/1973,8.626153846,0.020010915
1/1/1974,8.462307692,-0.018994114
4/1/1974,8.886923077,0.050177257
7/1/1974,9.606153846,0.08093136
10/1/1974,9.793076923,0.01945868
1/1/1975,9.168461538,-0.063781321
4/1/1975,8.875384615,-0.031965769
7/1/1975,8.983846154,0.012220489
10/1/1975,9.160769231,0.019693467
1/1/1976,8.873076923,-0.03140482
4/1/1976,8.776923077,-0.010836584
7/1/1976,8.967692308,0.02173532
10/1/1976,8.847142857,-0.013442639
1/1/1977,8.693333333,-0.01738522
4/1/1977,8.807692308,0.01315479
7/1/1977,8.925,0.013318777
10/1/1977,8.936923077,0.001335919
1/1/1978,9.126923077,0.021260114
4/1/1978,9.557692308,0.04719764
7/1/1978,9.76,0.021167002
10/1/1978,10.12230769,0.03712169
1/1/1979,10.40923077,0.028345619
4/1/1979,10.76384615,0.034067396
7/1/1979,11.15692308,0.036518259
10/1/1979,12.48461538,0.119001655
1/1/1980,13.68,0.095748614
4/1/1980,14.41923077,0.054037337
7/1/1980,12.64307692,-0.123179515
10/1/1980,14.22615385,0.125212947
1/1/1981,15.12692308,0.063317833
4/1/1981,16.23923077,0.073531655
7/1/1981,17.38,0.070247738
10/1/1981,17.73571429,0.020466875
1/1/1982,17.41416667,-0.01812995
4/1/1982,16.76615385,-0.037211819
7/1/1982,16.22153846,-0.032483024
10/1/1982,14.03285714,-0.134924398
1/1/1983,13.03,-0.071464929
4/1/1983,12.76307692,-0.020485271
7/1/1983,13.64142857,0.068819741
10/1/1983,13.46,-0.013299822
1/1/1984,13.33307692,-0.009429649
4/1/1984,14.03538462,0.05267409
7/1/1984,14.49384615,0.032664694
10/1/1984,13.64846154,-0.058327141
1/1/1985,13.06384615,-0.042833794
4/1/1985,12.78538462,-0.021315433
7/1/1985,12.14076923,-0.050418146
10/1/1985,11.73076923,-0.033770513
1/1/1986,10.58384615,-0.097770492
4/1/1986,10.24615385,-0.031906389
7/1/1986,10.23538462,-0.001051051
10/1/1986,9.683846154,-0.053885465
1/1/1987,9.114615385,-0.058781476
4/1/1987,10.34307692,0.134779306
7/1/1987,10.48153846,0.013386881
10/1/1987,10.86428571,0.036516324
1/1/1988,10.06833333,-0.073263204
4/1/1988,10.35923077,0.028892313
7/1/1988,10.49642857,0.013244014
10/1/1988,10.41,-0.008234093
1/1/1989,10.82,0.039385207
4/1/1989,10.63615385,-0.016991327
7/1/1989,10.00769231,-0.059087293
10/1/1989,9.813846154,-0.019369716
1/1/1990,10.13153846,0.032371845
4/1/1990,10.32384615,0.018981095
7/1/1990,10.10307692,-0.021384398
10/1/1990,9.959230769,-0.014237856
1/1/1991,9.500769231,-0.04603383
