DATE,RRVRUSQ156N,Rate
4/1/1956,5.9,-0.048387097
7/1/1956,6.3,0.06779661
10/1/1956,5.8,-0.079365079
1/1/1957,5.3,-0.086206897
4/1/1957,5.3,0
7/1/1957,5.7,0.075471698
10/1/1957,5.8,0.01754386
1/1/1958,6.3,0.086206897
4/1/1958,6.5,0.031746032
7/1/1958,6.3,-0.030769231
10/1/1958,6.6,0.047619048
1/1/1959,6.8,0.03030303
4/1/1959,7.3,0.073529412
7/1/1959,7.2,-0.01369863
10/1/1959,7,-0.027777778
1/1/1960,8,0.142857143
4/1/1960,8,0
7/1/1960,8.3,0.0375
10/1/1960,8.4,0.012048193
1/1/1961,8.9,0.05952381
4/1/1961,8.8,-0.011235955
7/1/1961,8.6,-0.022727273
10/1/1961,8.5,-0.011627907
1/1/1962,8.5,0
4/1/1962,8.1,-0.047058824
7/1/1962,8,-0.012345679
10/1/1962,8.1,0.0125
1/1/1963,8,-0.012345679
4/1/1963,8.2,0.025
7/1/1963,8.3,0.012195122
10/1/1963,8.3,0
1/1/1964,8.1,-0.024096386
4/1/1964,8.1,0
7/1/1964,8.4,0.037037037
10/1/1964,8.3,-0.011904762
1/1/1965,8.5,0.024096386
4/1/1965,8.2,-0.035294118
7/1/1965,7.8,-0.048780488
10/1/1965,8.5,0.08974359
1/1/1966,8.3,-0.023529412
4/1/1966,7.4,-0.108433735
7/1/1966,7.4,0
10/1/1966,7.7,0.040540541
1/1/1967,7.3,-0.051948052
4/1/1967,6.9,-0.054794521
7/1/1967,7,0.014492754
10/1/1967,6.2,-0.114285714
1/1/1968,6.1,-0.016129032
4/1/1968,6.2,0.016393443
7/1/1968,5.9,-0.048387097
10/1/1968,5.4,-0.084745763
1/1/1969,5.6,0.037037037
4/1/1969,5.7,0.017857143
7/1/1969,5.5,-0.035087719
10/1/1969,5.1,-0.072727273
1/1/1970,5.4,0.058823529
4/1/1970,5.4,0
7/1/1970,5.3,-0.018518519
10/1/1970,5.2,-0.018867925
1/1/1971,5.3,0.019230769
4/1/1971,5.3,0
7/1/1971,5.6,0.056603774
10/1/1971,5.6,0
1/1/1972,5.3,-0.053571429
4/1/1972,5.5,0.037735849
7/1/1972,5.8,0.054545455
10/1/1972,5.6,-0.034482759
1/1/1973,5.7,0.017857143
4/1/1973,5.8,0.01754386
7/1/1973,5.8,0
10/1/1973,5.8,0
1/1/1974,6.2,0.068965517
4/1/1974,6.3,0.016129032
7/1/1974,6.2,-0.015873016
10/1/1974,6,-0.032258065
1/1/1975,6.1,0.016666667
4/1/1975,6.3,0.032786885
7/1/1975,6.2,-0.015873016
10/1/1975,5.4,-0.129032258
1/1/1976,5.5,0.018518519
4/1/1976,5.8,0.054545455
7/1/1976,5.7,-0.017241379
10/1/1976,5.3,-0.070175439
1/1/1977,5.1,-0.037735849
4/1/1977,5.3,0.039215686
7/1/1977,5.4,0.018867925
10/1/1977,5.1,-0.055555556
1/1/1978,5,-0.019607843
4/1/1978,5.1,0.02
7/1/1978,5,-0.019607843
10/1/1978,5,0
1/1/1979,5.1,0.02
4/1/1979,5.5,0.078431373
7/1/1979,5.7,0.036363636
10/1/1979,5.4,-0.052631579
1/1/1980,5.2,-0.037037037
4/1/1980,5.6,0.076923077
7/1/1980,5.7,0.017857143
10/1/1980,5,-0.122807018
1/1/1981,5.2,0.04
4/1/1981,5,-0.038461538
7/1/1981,5,0
10/1/1981,5,0
1/1/1982,5.3,0.06
4/1/1982,5.1,-0.037735849
7/1/1982,5.3,0.039215686
10/1/1982,5.5,0.037735849
1/1/1983,5.7,0.036363636
4/1/1983,5.5,-0.035087719
7/1/1983,5.8,0.054545455
10/1/1983,5.5,-0.051724138
1/1/1984,5.6,0.018181818
4/1/1984,5.5,-0.017857143
7/1/1984,6,0.090909091
10/1/1984,6.3,0.05
1/1/1985,6.3,0
