block_size,annual_log_returns_variance
1,0.019750483
2,0.024427198
3,0.026036281
4,0.026507381
5,0.026935095
6,0.027526626
7,0.028075837
8,0.028580302
9,0.02903971
10,0.02940441
11,0.02970806
12,0.02996128
13,0.030180274
14,0.0303608
15,0.03052269
16,0.03066667
17,0.03079062
18,0.030905746
19,0.031006712
20,0.03110164
21,0.031181522
22,0.031256847
23,0.031320974
24,0.031376492
25,0.031431317
26,0.031485233
27,0.0315345
28,0.031573478
29,0.031614725
30,0.031655002
31,0.031694844
32,0.031729273
33,0.031755283
34,0.03178751
35,0.03182175
36,0.031846292
37,0.031874027
38,0.03189281
39,0.031915642
40,0.03193602
41,0.031955425
42,0.031974707
43,0.031991173
44,0.032010507
45,0.032029044
46,0.032038324
47,0.032057036
48,0.03207457
49,0.032086145
50,0.03209763
51,0.032113545
52,0.0321301
53,0.032141075
54,0.032157037
55,0.0321708
56,0.03217965
57,0.032185752
58,0.03219978
59,0.032212093
60,0.03222578
61,0.032238003
62,0.0322428
63,0.03225315
64,0.03226459
65,0.032269828
66,0.032280006
67,0.032281067
68,0.032283783
69,0.03229342
70,0.032305665
71,0.032309715
72,0.032318037
73,0.032324377
74,0.032328803
75,0.03233107
76,0.032334857
77,0.032344975
78,0.032345578
79,0.03235836
80,0.032360505
81,0.03236579
82,0.032369893
83,0.032376494
84,0.032380734
85,0.032386974
86,0.032388072
87,0.0323968
88,0.032401156
89,0.03240717
90,0.032412294
91,0.03241329
92,0.032415953
93,0.032424036
94,0.032422736
95,0.032422055
96,0.032435335
97,0.03243462
98,0.0324379
99,0.032443143
100,0.032448146
101,0.032449078
102,0.032443874
103,0.03245491
104,0.032459937
105,0.032464847
106,0.032467082
107,0.03247762
108,0.032472916
109,0.032471683
110,0.03247556
111,0.032481115
112,0.03247597
113,0.03248236
114,0.032482233
115,0.032482922
116,0.032483082
117,0.032484967
118,0.032489292
119,0.032484677
120,0.032499287
121,0.032495793
122,0.032502223
123,0.032497384
124,0.03250471
125,0.032503456
126,0.03250899
127,0.03251594
128,0.03251129
129,0.032511193
130,0.032512046
131,0.03251689
132,0.032523457
133,0.032517843
134,0.032520466
135,0.032528207
136,0.0325264
137,0.032526474
138,0.032518256
139,0.032527946
140,0.032527592
141,0.032532472
142,0.032534946
143,0.0325295
144,0.032533985
145,0.032540396
146,0.032543916
147,0.0325429
148,0.032548252
149,0.032551967
150,0.03254597
151,0.03255159
152,0.03255291
153,0.032554723
154,0.032553088
155,0.032552566
156,0.032562982
157,0.032559644
158,0.032551512
159,0.032569084
160,0.03256825
161,0.03257273
162,0.032573268
163,0.0325682
164,0.03257181
165,0.032569736
166,0.032571893
167,0.032577123
168,0.03257596
169,0.03257261
170,0.032577083
171,0.032579403
172,0.032570805
173,0.032583788
174,0.03258619
175,0.032583244
176,0.032582175
177,0.032586478
178,0.03259062
179,0.032594327
180,0.032604497
181,0.032597158
182,0.032596555
183,0.032600876
184,0.032604646
185,0.032607693
186,0.03259821
187,0.032603923
188,0.03259311
189,0.032590706
190,0.032592427
191,0.03260288
192,0.032605957
193,0.032603327
194,0.032596264
195,0.032619108
196,0.03260954
197,0.03260884
198,0.032613408
199,0.032615777
200,0.032621507
201,0.032614123
202,0.032606814
203,0.032607645
204,0.032612815
205,0.032622963
206,0.03262289
207,0.032626614
208,0.03261258
209,0.032622185
210,0.032620557
211,0.032623883
212,0.03261613
213,0.0326159
214,0.03262047
215,0.032622933
216,0.03262861
217,0.032630604
218,0.032623462
219,0.03264052
220,0.032631658
221,0.03262715
222,0.032632705
223,0.03263899
224,0.03263942
225,0.032637246
226,0.032647137
227,0.032640006
228,0.03264709
229,0.032642208
230,0.032640193
231,0.032633364
232,0.032648474
233,0.032634288
234,0.03263665
235,0.03263056
236,0.032635782
237,0.03264777
238,0.03264717
239,0.0326426
240,0.03264977
241,0.032635175
242,0.0326518
243,0.032648902
244,0.032649033
245,0.032648623
246,0.03264961
247,0.032647952
248,0.03264193
249,0.032646973
250,0.032652434
251,0.032643475
252,0.032651324
253,0.032640226
254,0.032651257
255,0.03265043
256,0.032653917
257,0.03264651
258,0.03264164
259,0.032654475
260,0.032645445
261,0.032646853
262,0.03265885
263,0.032658145
264,0.032653425
265,0.03265115
266,0.032655977
267,0.03265303
268,0.03264373
269,0.032651693
270,0.03265809
271,0.032659944
272,0.03265138
273,0.032656465
274,0.032653183
275,0.0326565
276,0.03265562
277,0.03264802
